,mse_score,trial_id,return_period,seq_len,lr,momentum,optim_type,num_layers,hidden_size,num_fc_layers,activation_type
1829,0.033575283692106946,011e8_01829,3,2,0.01,0.23591684182143968,2,2,128,2,3
1064,0.033576941751165566,011e8_01064,2,2,0.01,0.5273762621833665,2,8,128,3,3
116,0.03359183435848911,011e8_00116,2,2,0.01,0.7153842197531913,1,1,64,3,3
1773,0.03360450870808731,011e8_01773,3,2,0.01,0.7231841890034136,2,2,16,1,1
0,0.033606511195967324,011e8_00000,2,2,0.001,0.22086645125268634,1,1,8,1,1
1698,0.03361517353770497,011e8_01698,3,2,0.1,0.4550016449314741,2,1,16,2,1
1818,0.03361666312112716,011e8_01818,3,2,0.01,0.7481658510779486,2,2,16,2,1
484,0.03362286849014054,011e8_00484,2,2,0.1,0.8638674465417376,1,8,16,2,2
1663,0.0336268514014767,011e8_01663,3,2,0.1,0.78242080685933,2,1,128,1,2
389,0.03363880434700555,011e8_00389,2,2,0.01,0.4969057889512506,1,4,128,3,3
1738,0.03365008282104369,011e8_01738,3,2,0.01,0.3561142267886873,2,1,128,3,2
1842,0.03365174472584952,011e8_01842,3,2,0.1,0.40362649678356854,2,2,128,2,1
1838,0.033654160178979486,011e8_01838,3,2,0.1,0.6565271525839986,2,2,32,2,3
1746,0.03365539803706971,011e8_01746,3,2,0.1,0.8609369276953042,2,1,32,3,1
1833,0.033655713223409774,011e8_01833,3,2,0.1,0.443264345149023,2,2,16,2,1
391,0.033655780549929105,011e8_00391,2,2,0.1,0.49965968382179693,1,4,8,3,2
1820,0.03365738879800422,011e8_01820,3,2,0.01,0.6113710459100002,2,2,16,2,3
2066,0.033668676155240634,011e8_02066,3,2,0.1,0.2356489834151974,2,8,64,1,3
1503,0.03367610837378633,011e8_01503,3,2,0.01,0.26404231305938125,1,8,16,1,1
114,0.0336796508424247,011e8_00114,2,2,0.01,0.175020181195411,1,1,64,3,1
443,0.033682430220616164,011e8_00443,2,2,0.1,0.47094989393411024,1,8,32,1,3
442,0.03368781252502432,011e8_00442,2,2,0.1,0.7890122281727281,1,8,32,1,2
147,0.03369167660481588,011e8_00147,2,2,0.001,0.7928033091668086,1,2,128,1,1
48,0.03370117030246108,011e8_00048,2,2,0.001,0.6780964027597498,1,1,16,2,1
1926,0.03371637930920204,011e8_01926,3,2,0.1,0.20202160091952115,2,4,32,1,1
